CODIGO;SETOR ECONÔMICO;SUBSETOR;SEGMENTO;
RRRP;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
CSAN;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
DMMO;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
ENAT;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
RPMG;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
PETR;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
BRDT;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
RECV;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
PRIO;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
UGPA;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
LUPA;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;
OPCT;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;
OSXB;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;
BRAP;Materiais Básicos;Mineração;Minerais Metálicos;
CMIN;Materiais Básicos;Mineração;Minerais Metálicos;
LTEL;Materiais Básicos;Mineração;Minerais Metálicos;
LTLA;Materiais Básicos;Mineração;Minerais Metálicos;
MMXM;Materiais Básicos;Mineração;Minerais Metálicos;
VALE;Materiais Básicos;Mineração;Minerais Metálicos;
FESA;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;
GGBR;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;
GOAU;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;
CSNA;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;
USIM;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;
MGEL;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;
PATI;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;
TKNO;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;
PMAM;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre;
BRKM;Materiais Básicos;Químicos;Petroquímicos;
GPCP;Materiais Básicos;Químicos;Petroquímicos;
FHER;Materiais Básicos;Químicos;Fertilizantes e Defensivos;
NUTR;Materiais Básicos;Químicos;Fertilizantes e Defensivos;
CRPG;Materiais Básicos;Químicos;Químicos Diversos;
UNIP;Materiais Básicos;Químicos;Químicos Diversos;
DTEX;Materiais Básicos;Madeira e Papel;Madeira;
EUCA;Materiais Básicos;Madeira e Papel;Madeira;
RANI;Materiais Básicos;Madeira e Papel;Papel e Celulose;
KLBN;Materiais Básicos;Madeira e Papel;Papel e Celulose;
MSPA;Materiais Básicos;Madeira e Papel;Papel e Celulose;
NEMO;Materiais Básicos;Madeira e Papel;Papel e Celulose;
SUZB;Materiais Básicos;Madeira e Papel;Papel e Celulose;
MTIG;Materiais Básicos;Embalagens;Embalagens;
SNSY;Materiais Básicos;Materiais Diversos;Materiais Diversos;
ETER;Bens Industriais;Construção e Engenharia;Produtos para Construção;
HAGA;Bens Industriais;Construção e Engenharia;Produtos para Construção;
PTBL;Bens Industriais;Construção e Engenharia;Produtos para Construção;
AZEV;Bens Industriais;Construção e Engenharia;Construção Pesada;
SOND;Bens Industriais;Construção e Engenharia;Engenharia Consultiva;
TCNO;Bens Industriais;Construção e Engenharia;Engenharia Consultiva;
MILS;Bens Industriais;Construção e Engenharia;Serviços Diversos;
EMBR;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa;
FRAS;Bens Industriais;Material de Transporte;Material Rodoviário;
POMO;Bens Industriais;Material de Transporte;Material Rodoviário;
RAPT;Bens Industriais;Material de Transporte;Material Rodoviário;
RCSL;Bens Industriais;Material de Transporte;Material Rodoviário;
RSUL;Bens Industriais;Material de Transporte;Material Rodoviário;
TUPY;Bens Industriais;Material de Transporte;Material Rodoviário;
MWET;Bens Industriais;Material de Transporte;Material Rodoviário;
SHUL;Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;
WEGE;Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;
EALT;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
AERI;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
BDLL;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
ROMI;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
INEP;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
KEPL;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
FRIO;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
NORD;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
PTCA;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
MTSA;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Construção e Agrícolas;
STTR;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Construção e Agrícolas;
TASA;Bens Industriais;Máquinas e Equipamentos;Armas e Munições;
AZUL;Bens Industriais;Transporte;Transporte Aéreo;
GOLL;Bens Industriais;Transporte;Transporte Aéreo;
FRRN;Bens Industriais;Transporte;Transporte Ferroviário;
GASC;Bens Industriais;Transporte;Transporte Ferroviário;
RLOG;Bens Industriais;Transporte;Transporte Ferroviário;
VSPT;Bens Industriais;Transporte;Transporte Ferroviário;
MRSA;Bens Industriais;Transporte;Transporte Ferroviário;
RAIL;Bens Industriais;Transporte;Transporte Ferroviário;
HBSA;Bens Industriais;Transporte;Transporte Hidroviário;
LOGN;Bens Industriais;Transporte;Transporte Hidroviário;
LUXM;Bens Industriais;Transporte;Transporte Hidroviário;
JSLG;Bens Industriais;Transporte;Transporte Rodoviário;
TGMA;Bens Industriais;Transporte;Transporte Rodoviário;
ANHB;Bens Industriais;Transporte;Exploração de Rodovias;
CCRO;Bens Industriais;Transporte;Exploração de Rodovias;
RPTA;Bens Industriais;Transporte;Exploração de Rodovias;
CRTE;Bens Industriais;Transporte;Exploração de Rodovias;
ERDV;Bens Industriais;Transporte;Exploração de Rodovias;
ASCP;Bens Industriais;Transporte;Exploração de Rodovias;
ECOR;Bens Industriais;Transporte;Exploração de Rodovias;
ECOV;Bens Industriais;Transporte;Exploração de Rodovias;
COLN;Bens Industriais;Transporte;Exploração de Rodovias;
RDVT;Bens Industriais;Transporte;Exploração de Rodovias;
CRBD;Bens Industriais;Transporte;Exploração de Rodovias;
TRIA;Bens Industriais;Transporte;Exploração de Rodovias;
TPIS;Bens Industriais;Transporte;Exploração de Rodovias;
VOES;Bens Industriais;Transporte;Exploração de Rodovias;
AGRU;Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;
PSVM;Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;
IVPR;Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;
SAIP;Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;
STBP;Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;
WSON;Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;
ATMP;Bens Industriais;Serviços Diversos;Serviços Diversos;
BBML;Bens Industriais;Serviços Diversos;Serviços Diversos;
DTCY;Bens Industriais;Serviços Diversos;Serviços Diversos;
ALPK;Bens Industriais;Serviços Diversos;Serviços Diversos;
FLEX;Bens Industriais;Serviços Diversos;Serviços Diversos;
GGPS;Bens Industriais;Serviços Diversos;Serviços Diversos;
PRNR;Bens Industriais;Serviços Diversos;Serviços Diversos;
SEQL;Bens Industriais;Serviços Diversos;Serviços Diversos;
VLID;Bens Industriais;Serviços Diversos;Serviços Diversos;
BTTL;Bens Industriais;Comércio;Material de Transporte;
MMAQ;Bens Industriais;Comércio;Material de Transporte;
WLMM;Bens Industriais;Comércio;Material de Transporte;
APTI;Consumo não Cíclico;Agropecuária;Agricultura;
SOJA;Consumo não Cíclico;Agropecuária;Agricultura;
AGRO;Consumo não Cíclico;Agropecuária;Agricultura;
FRTA;Consumo não Cíclico;Agropecuária;Agricultura;
SLCE;Consumo não Cíclico;Agropecuária;Agricultura;
TESA;Consumo não Cíclico;Agropecuária;Agricultura;
BSEV;Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;
JALL;Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;
RESA;Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;
SMTO;Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;
BRFS;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;
BAUH;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;
JBSS;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;
MRFG;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;
BEEF;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;
MNPR;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;
CAML;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;
JMCD;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;
JOPA;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;
MDIA;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;
ODER;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;
ABEV;Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes;
NTCO;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal;
BOBR;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza;
ASAI;Consumo não Cíclico;Comércio e Distribuição;Alimentos;
CRFB;Consumo não Cíclico;Comércio e Distribuição;Alimentos;
GMAT;Consumo não Cíclico;Comércio e Distribuição;Alimentos;
PCAR;Consumo não Cíclico;Comércio e Distribuição;Alimentos;
AVLL;Consumo Cíclico;Construção Civil;Incorporações;
CALI;Consumo Cíclico;Construção Civil;Incorporações;
CRDE;Consumo Cíclico;Construção Civil;Incorporações;
CURY;Consumo Cíclico;Construção Civil;Incorporações;
CYRE;Consumo Cíclico;Construção Civil;Incorporações;
DIRR;Consumo Cíclico;Construção Civil;Incorporações;
EVEN;Consumo Cíclico;Construção Civil;Incorporações;
EZTC;Consumo Cíclico;Construção Civil;Incorporações;
GFSA;Consumo Cíclico;Construção Civil;Incorporações;
HBOR;Consumo Cíclico;Construção Civil;Incorporações;
INNT;Consumo Cíclico;Construção Civil;Incorporações;
JHSF;Consumo Cíclico;Construção Civil;Incorporações;
JFEN;Consumo Cíclico;Construção Civil;Incorporações;
LAVV;Consumo Cíclico;Construção Civil;Incorporações;
MELK;Consumo Cíclico;Construção Civil;Incorporações;
MTRE;Consumo Cíclico;Construção Civil;Incorporações;
MDNE;Consumo Cíclico;Construção Civil;Incorporações;
MRVE;Consumo Cíclico;Construção Civil;Incorporações;
PDGR;Consumo Cíclico;Construção Civil;Incorporações;
PLPL;Consumo Cíclico;Construção Civil;Incorporações;
RDNI;Consumo Cíclico;Construção Civil;Incorporações;
RSID;Consumo Cíclico;Construção Civil;Incorporações;
TCSA;Consumo Cíclico;Construção Civil;Incorporações;
TEND;Consumo Cíclico;Construção Civil;Incorporações;
TRIS;Consumo Cíclico;Construção Civil;Incorporações;
VIVR;Consumo Cíclico;Construção Civil;Incorporações;
CEDO;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
CTNM;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
DOHL;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
ECPR;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
CATA;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
CTKA;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
PTNT;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
CTSA;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
SGPS;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
TEKA;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
TXRX;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;
HGTX;Consumo Cíclico;Tecidos, Vestuário e Calçados;Vestuário;
TFCO;Consumo Cíclico;Tecidos, Vestuário e Calçados;Vestuário;
ALPA;Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;
CAMB;Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;
GRND;Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;
VULC;Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;
MNDL;Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios;
TECN;Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios;
VIVA;Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios;
WHRL;Consumo Cíclico;Utilidades Domésticas;Eletrodomésticos;
UCAS;Consumo Cíclico;Utilidades Domésticas;Móveis;
HETA;Consumo Cíclico;Utilidades Domésticas;Utensílios Domésticos;
MYPK;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;
LEVE;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;
PLAS;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;
HOOT;Consumo Cíclico;Hoteis e Restaurantes;Hotelaria;
BKBR;Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares;
MEAL;Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares;
BMKS;Consumo Cíclico;Viagens e Lazer;Bicicletas;
ESTR;Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;
AHEB;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;
SHOW;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;
CVCB;Consumo Cíclico;Viagens e Lazer;Viagens e Turismo;
SMFT;Consumo Cíclico;Viagens e Lazer;Atividades Esportivas;
ANIM;Consumo Cíclico;Diversos;Serviços Educacionais;
BAHI;Consumo Cíclico;Diversos;Serviços Educacionais;
COGN;Consumo Cíclico;Diversos;Serviços Educacionais;
CSED;Consumo Cíclico;Diversos;Serviços Educacionais;
SEER;Consumo Cíclico;Diversos;Serviços Educacionais;
YDUQ;Consumo Cíclico;Diversos;Serviços Educacionais;
RENT;Consumo Cíclico;Diversos;Aluguel de carros;
LCAM;Consumo Cíclico;Diversos;Aluguel de carros;
MSRO;Consumo Cíclico;Diversos;Aluguel de carros;
MOVI;Consumo Cíclico;Diversos;Aluguel de carros;
UNID;Consumo Cíclico;Diversos;Aluguel de carros;
VAMO;Consumo Cíclico;Diversos;Aluguel de carros;
SMLS;Consumo Cíclico;Diversos;Programas de Fidelização;
ARZZ;Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;
CEAB;Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;
